date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:13:27	202777/202777	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:68cffc5adb1b5ecb17c2047b5d3c121c%22	https://lemkus.com/products/air-force-1-07-flyease	C:/My%20Web%20Sites/airforce1/lemkus.com/products/air-force-1-07-flyease.html	(from )
11:13:28	524/524	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:67eb6d758025151a742c26b6c0af143a%22	https://lemkus.com/robots.txt		(from )
11:13:28	1395/1395	---MCZ	200	added ('OK')	application/json+oembed	etag:%22cacheable:c10fbd7c6d620830578539acf795adca%22	https://lemkus.com/products/air-force-1-07-flyease.oembed	C:/My%20Web%20Sites/airforce1/lemkus.com/products/air-force-1-07-flyease.oembed	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:28	3701/3701	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2029%20Nov%202023%2017:13:27%20GMT	https://lemkus.com/checkouts/internal/preloads.js?locale=en-ZA	C:/My%20Web%20Sites/airforce1/lemkus.com/checkouts/internal/preloads931e.js	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:28	1922/1922	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20Nov%202023%2014:05:36%20GMT	https://cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	C:/My%20Web%20Sites/airforce1/cdn.shopify.com/shopifycloud/storefront-recaptcha-v3/v0.6/index.js	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:28%20GMT	http://lemkus.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-87876fa245af19cbd14aa886ed59c6aa8a27c45d24dcd7a81cf2d2323506233e.js	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-87876fa245af19cbd14aa886ed59c6aa8a27c45d24dcd7a81cf2d2323506233e.4.delayed	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:29	12133/12133	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Nov%202023%2023:08:01%20GMT	https://lemkus.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-87876fa245af19cbd14aa886ed59c6aa8a27c45d24dcd7a81cf2d2323506233e.js	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-87876fa245af19cbd14aa886ed59c6aa8a27c45d24dcd7a81cf2d2323506233e.js	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:28%20GMT	http://lemkus.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:29	37678/37678	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2017%20Nov%202023%2011:52:11%20GMT	https://lemkus.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shopifycloud/shopify/assets/storefront/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.js	(from https://lemkus.com/products/air-force-1-07-flyease)
11:13:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Nov%202023%2017:13:28%20GMT	http://lemkus.com/cdn/shop/t/32/assets/app.css?v=166914672891965181121693901134	C:/My%20Web%20Sites/airforce1/lemkus.com/cdn/shop/t/32/assets/app1cb8.css	(from https://lemkus.com/products/air-force-1-07-flyease)
